ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
311,1/24/2014,1/31/2014,21710,1,6,SO43800,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/24/2014,1/31/2014,13583,1,10,SO43801,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/24/2014,1/31/2014,11593,1,7,SO43802,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/25/2014,2/1/2014,21741,1,6,SO43803,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/25/2014,2/1/2014,13585,1,10,SO43804,1,1,"3,578.27","2,171.29","3,578.27",286.26
328,1/25/2014,2/1/2014,14510,1,1,SO43805,1,1,699.1,413.15,699.1,55.93
312,1/25/2014,2/1/2014,16523,1,9,SO43806,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/26/2014,2/2/2014,11611,1,7,SO43807,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,1/26/2014,2/2/2014,13259,1,8,SO43808,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/26/2014,2/2/2014,16350,1,9,SO43809,1,1,"3,578.27","2,171.29","3,578.27",286.26
345,1/26/2014,2/2/2014,11004,1,9,SO43810,1,1,"3,399.99","1,912.15","3,399.99",272
346,1/26/2014,2/2/2014,11026,1,9,SO43811,1,1,"3,399.99","1,912.15","3,399.99",272
312,1/27/2014,2/3/2014,27662,1,4,SO43812,1,1,"3,578.27","2,171.29","3,578.27",286.26
350,1/27/2014,2/3/2014,28390,1,7,SO43813,1,1,"3,374.99","1,898.09","3,374.99",270
350,1/27/2014,2/3/2014,25866,1,1,SO43814,1,1,"3,374.99","1,898.09","3,374.99",270
311,1/27/2014,2/3/2014,16494,1,9,SO43815,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/27/2014,2/3/2014,16496,1,9,SO43816,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/27/2014,2/3/2014,16519,1,9,SO43817,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/27/2014,2/3/2014,16528,1,9,SO43818,1,1,"3,578.27","2,171.29","3,578.27",286.26
346,1/27/2014,2/3/2014,11006,1,9,SO43819,1,1,"3,399.99","1,912.15","3,399.99",272
312,1/28/2014,2/4/2014,27651,1,4,SO43820,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/28/2014,2/4/2014,27663,1,4,SO43821,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,1/28/2014,2/4/2014,27669,1,4,SO43822,1,1,"3,578.27","2,171.29","3,578.27",286.26
342,1/28/2014,2/4/2014,19942,1,10,SO43823,1,1,699.1,413.15,699.1,55.93
338,1/28/2014,2/4/2014,14558,1,1,SO43824,1,1,699.1,413.15,699.1,55.93
313,1/28/2014,2/4/2014,16349,1,9,SO43825,1,1,"3,578.27","2,171.29","3,578.27",286.26
348,1/28/2014,2/4/2014,11008,1,9,SO43826,1,1,"3,374.99","1,898.09","3,374.99",270
338,1/28/2014,2/4/2014,25250,1,9,SO43827,1,1,699.1,413.15,699.1,55.93
310,1/29/2014,2/5/2014,27605,1,1,SO43828,1,2,"1,789.14","2,171.29","3,578.27",286.26
310,1/29/2014,2/5/2014,27611,1,4,SO43829,1,2,"1,789.14","2,171.29","3,578.27",286.26
311,1/29/2014,2/5/2014,16347,1,9,SO43830,1,2,"1,789.14","2,171.29","3,578.27",286.26
349,1/29/2014,2/5/2014,11028,1,9,SO43831,1,2,"1,687.50","1,898.09","3,374.99",270
310,1/29/2014,2/5/2014,13584,1,10,SO43832,1,2,"1,789.14","2,171.29","3,578.27",286.26
310,1/30/2014,2/6/2014,21727,1,6,SO43833,1,4,894.57,"2,171.29","3,578.27",286.26
348,1/30/2014,2/6/2014,28393,1,7,SO43834,1,4,843.75,"1,898.09","3,374.99",270
348,1/30/2014,2/6/2014,19802,1,6,SO43835,1,4,843.75,"1,898.09","3,374.99",270
324,1/30/2014,2/6/2014,26620,1,6,SO43836,1,4,174.77,413.15,699.1,55.93
350,1/30/2014,2/6/2014,11009,1,9,SO43837,1,4,843.75,"1,898.09","3,374.99",270
313,1/31/2014,2/7/2014,27641,1,4,SO43838,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/31/2014,2/7/2014,27673,1,1,SO43839,1,1,"3,578.27","2,171.29","3,578.27",286.26
326,1/31/2014,2/7/2014,17957,1,7,SO43840,1,1,699.1,413.15,699.1,55.93
314,1/31/2014,2/7/2014,13406,1,8,SO43841,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/31/2014,2/7/2014,16630,1,9,SO43842,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/1/2014,2/8/2014,22041,1,6,SO43918,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/1/2014,2/8/2014,12124,1,7,SO43919,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/1/2014,2/8/2014,28066,1,4,SO43920,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/1/2014,2/8/2014,16743,1,9,SO43921,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/1/2014,2/8/2014,13546,1,8,SO43922,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/2/2014,2/9/2014,28018,1,4,SO43923,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/2/2014,2/9/2014,12132,1,7,SO43924,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/2/2014,2/9/2014,16661,1,9,SO43925,1,1,"3,578.27","2,171.29","3,578.27",286.26
351,2/3/2014,2/10/2014,11055,1,9,SO43926,1,1,"3,374.99","1,898.09","3,374.99",270
314,2/3/2014,2/10/2014,16662,1,9,SO43927,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/3/2014,2/10/2014,16740,1,9,SO43928,1,1,"3,578.27","2,171.29","3,578.27",286.26
322,2/3/2014,2/10/2014,25270,1,9,SO43929,1,1,699.1,413.15,699.1,55.93
312,2/4/2014,2/11/2014,28038,1,4,SO43930,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/4/2014,2/11/2014,13548,1,8,SO43931,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/4/2014,2/11/2014,16741,1,9,SO43932,1,1,"3,578.27","2,171.29","3,578.27",286.26
347,2/4/2014,2/11/2014,11031,1,9,SO43933,1,1,"3,399.99","1,912.15","3,399.99",272
346,2/4/2014,2/11/2014,11034,1,9,SO43934,1,1,"3,399.99","1,912.15","3,399.99",272
334,2/5/2014,2/12/2014,20048,1,10,SO43935,1,2,349.55,413.15,699.1,55.93
311,2/5/2014,2/12/2014,28065,1,4,SO43936,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,2/5/2014,2/12/2014,17047,1,9,SO43937,1,2,"1,789.14","2,171.29","3,578.27",286.26
310,2/5/2014,2/12/2014,16686,1,9,SO43938,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,2/5/2014,2/12/2014,16659,1,9,SO43939,1,2,"1,789.14","2,171.29","3,578.27",286.26
336,2/5/2014,2/12/2014,25294,1,9,SO43940,1,2,349.55,413.15,699.1,55.93
314,2/6/2014,2/13/2014,13600,1,10,SO43941,1,4,894.57,"2,171.29","3,578.27",286.26
310,2/6/2014,2/13/2014,17051,1,9,SO43942,1,4,894.57,"2,171.29","3,578.27",286.26
338,2/6/2014,2/13/2014,14565,1,4,SO43943,1,4,174.77,413.15,699.1,55.93
344,2/6/2014,2/13/2014,11054,1,9,SO43944,1,4,850,"1,912.15","3,399.99",272
310,2/6/2014,2/13/2014,16675,1,9,SO43945,1,4,894.57,"2,171.29","3,578.27",286.26
313,2/6/2014,2/13/2014,16687,1,9,SO43946,1,4,894.57,"2,171.29","3,578.27",286.26
310,2/6/2014,2/13/2014,16712,1,9,SO43947,1,4,894.57,"2,171.29","3,578.27",286.26
345,2/6/2014,2/13/2014,11047,1,9,SO43948,1,4,850,"1,912.15","3,399.99",272
310,2/7/2014,2/14/2014,27726,1,4,SO43949,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/7/2014,2/14/2014,28014,1,4,SO43950,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/7/2014,2/14/2014,16696,1,9,SO43951,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/7/2014,2/14/2014,16639,1,9,SO43952,1,1,"3,578.27","2,171.29","3,578.27",286.26
342,2/8/2014,2/15/2014,20049,1,10,SO43953,1,1,699.1,413.15,699.1,55.93
311,2/8/2014,2/15/2014,13602,1,10,SO43954,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/8/2014,2/15/2014,13661,1,10,SO43955,1,1,"3,578.27","2,171.29","3,578.27",286.26
344,2/8/2014,2/15/2014,11030,1,9,SO43956,1,1,"3,399.99","1,912.15","3,399.99",272
313,2/9/2014,2/16/2014,28068,1,4,SO43957,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/9/2014,2/16/2014,16658,1,9,SO43958,1,1,"3,578.27","2,171.29","3,578.27",286.26
348,2/9/2014,2/16/2014,11035,1,9,SO43959,1,1,"3,374.99","1,898.09","3,374.99",270
349,2/9/2014,2/16/2014,11046,1,9,SO43960,1,1,"3,374.99","1,898.09","3,374.99",270
311,2/10/2014,2/17/2014,28031,1,4,SO43961,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/10/2014,2/17/2014,28076,1,4,SO43962,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/10/2014,2/17/2014,16685,1,9,SO43963,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/10/2014,2/17/2014,16745,1,9,SO43964,1,1,"3,578.27","2,171.29","3,578.27",286.26
351,2/10/2014,2/17/2014,11038,1,9,SO43965,1,1,"3,374.99","1,898.09","3,374.99",270
347,2/10/2014,2/17/2014,11039,1,9,SO43966,1,1,"3,399.99","1,912.15","3,399.99",272
313,2/11/2014,2/18/2014,28040,1,1,SO43967,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/11/2014,2/18/2014,28067,1,4,SO43968,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/11/2014,2/18/2014,28071,1,4,SO43969,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/11/2014,2/18/2014,16684,1,9,SO43970,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/11/2014,2/18/2014,16657,1,9,SO43971,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/12/2014,2/19/2014,21939,1,6,SO43972,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,2/12/2014,2/19/2014,28039,1,4,SO43973,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,2/12/2014,2/19/2014,13687,1,10,SO43974,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,2/12/2014,2/19/2014,13540,1,8,SO43975,1,2,"1,789.14","2,171.29","3,578.27",286.26
310,2/12/2014,2/19/2014,28063,1,4,SO43976,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,2/12/2014,2/19/2014,16703,1,9,SO43977,1,2,"1,789.14","2,171.29","3,578.27",286.26
310,2/13/2014,2/20/2014,28030,1,1,SO43978,1,4,894.57,"2,171.29","3,578.27",286.26
322,2/13/2014,2/20/2014,14576,1,1,SO43979,1,4,174.77,413.15,699.1,55.93
351,2/13/2014,2/20/2014,11048,1,9,SO43980,1,4,843.75,"1,898.09","3,374.99",270
314,2/13/2014,2/20/2014,16664,1,9,SO43981,1,4,894.57,"2,171.29","3,578.27",286.26
342,2/13/2014,2/20/2014,25271,1,9,SO43982,1,4,174.77,413.15,699.1,55.93
314,2/14/2014,2/21/2014,28017,1,1,SO43983,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/14/2014,2/21/2014,13545,1,8,SO43984,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,2/14/2014,2/21/2014,13515,1,8,SO43985,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/14/2014,2/21/2014,28070,1,4,SO43986,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/15/2014,2/22/2014,28042,1,4,SO43987,1,1,"3,578.27","2,171.29","3,578.27",286.26
344,2/15/2014,2/22/2014,11244,1,10,SO43988,1,1,"3,399.99","1,912.15","3,399.99",272
312,2/15/2014,2/22/2014,28083,1,4,SO43989,1,1,"3,578.27","2,171.29","3,578.27",286.26
344,2/15/2014,2/22/2014,25872,1,1,SO43990,1,1,"3,399.99","1,912.15","3,399.99",272
310,2/15/2014,2/22/2014,16660,1,9,SO43991,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/15/2014,2/22/2014,16638,1,9,SO43992,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/17/2014,2/24/2014,16929,1,9,SO43993,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/18/2014,2/25/2014,27681,1,4,SO43994,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/18/2014,2/25/2014,21813,1,6,SO43995,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/18/2014,2/25/2014,27920,1,4,SO43996,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/18/2014,2/25/2014,28022,1,4,SO43997,1,1,"3,578.27","2,171.29","3,578.27",286.26
348,2/18/2014,2/25/2014,11033,1,9,SO43998,1,1,"3,374.99","1,898.09","3,374.99",270
311,2/18/2014,2/25/2014,28047,1,1,SO43999,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/19/2014,2/26/2014,27918,1,4,SO44000,1,2,"1,789.14","2,171.29","3,578.27",286.26
313,2/19/2014,2/26/2014,28044,1,4,SO44001,1,2,"1,789.14","2,171.29","3,578.27",286.26
336,2/19/2014,2/26/2014,14572,1,4,SO44002,1,2,349.55,413.15,699.1,55.93
342,2/19/2014,2/26/2014,19325,1,8,SO44003,1,2,349.55,413.15,699.1,55.93
310,2/19/2014,2/26/2014,28061,1,4,SO44004,1,2,"1,789.14","2,171.29","3,578.27",286.26
334,2/19/2014,2/26/2014,26629,1,6,SO44005,1,2,349.55,413.15,699.1,55.93
310,2/19/2014,2/26/2014,16744,1,9,SO44006,1,2,"1,789.14","2,171.29","3,578.27",286.26
320,2/19/2014,2/26/2014,25555,1,9,SO44007,1,2,349.55,413.15,699.1,55.93
312,2/20/2014,2/27/2014,27678,1,1,SO44008,1,4,894.57,"2,171.29","3,578.27",286.26
314,2/20/2014,2/27/2014,27759,1,1,SO44009,1,4,894.57,"2,171.29","3,578.27",286.26
310,2/20/2014,2/27/2014,13680,1,10,SO44010,1,4,894.57,"2,171.29","3,578.27",286.26
310,2/20/2014,2/27/2014,13514,1,8,SO44011,1,4,894.57,"2,171.29","3,578.27",286.26
349,2/20/2014,2/27/2014,11052,1,9,SO44012,1,4,843.75,"1,898.09","3,374.99",270
312,2/20/2014,2/27/2014,16928,1,9,SO44013,1,4,894.57,"2,171.29","3,578.27",286.26
313,2/21/2014,2/28/2014,27917,1,4,SO44014,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/21/2014,2/28/2014,13693,1,10,SO44015,1,1,"3,578.27","2,171.29","3,578.27",286.26
350,2/21/2014,2/28/2014,11247,1,10,SO44016,1,1,"3,374.99","1,898.09","3,374.99",270
310,2/21/2014,2/28/2014,28078,1,1,SO44017,1,1,"3,578.27","2,171.29","3,578.27",286.26
350,2/21/2014,2/28/2014,25876,1,1,SO44018,1,1,"3,374.99","1,898.09","3,374.99",270
310,2/21/2014,2/28/2014,16701,1,9,SO44019,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,2/21/2014,2/28/2014,16931,1,9,SO44020,1,1,"3,578.27","2,171.29","3,578.27",286.26
348,2/21/2014,2/28/2014,11032,1,9,SO44021,1,1,"3,374.99","1,898.09","3,374.99",270
313,2/22/2014,2/28/2014,22008,1,6,SO44022,1,1,"3,578.27","2,171.29","3,578.27",286.26
349,2/22/2014,2/28/2014,19830,1,6,SO44023,1,1,"3,374.99","1,898.09","3,374.99",270
314,2/22/2014,2/28/2014,16663,1,9,SO44024,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,2/22/2014,2/28/2014,16708,1,9,SO44025,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/22/2014,2/28/2014,17045,1,9,SO44026,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,2/23/2014,2/28/2014,21921,1,6,SO44027,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,2/23/2014,2/28/2014,17048,1,9,SO44028,1,1,"3,578.27","2,171.29","3,578.27",286.26
